NYU-UCS-0241-03-Ribozero_S3_L002	NYU-UCS-0241-03-Trio_S3_L002	NYU-UCS-0303-03-Ribozero_S1_L002	NYU-UCS-0303-03-Trio_S1_L002	UCS-0019-MainEvent-Ribozero_S2_L002	UCS-0019-MainEvent-Trio_S2_L002	UCS-0116-MainEvent-Ribozero_S7_L002	UCS-0116-MainEvent-Trio_S7_L002	UCS-0209-MainEvent-Ribozero_S6_L002	UCS-0209-MainEvent-Trio_S6_L002	UCS-0232-02-Ribozero_S8_L002	UCS-0232-02-Trio_S8_L002	UCS-0232-05-Ribozero_S5_L002	UCS-0232-05-Trio_S5_L002	UCS-0289-04-Ribozero_S4_L002	UCS-0289-04-Trio_S4_L002
Metamycoplasma hominis	0	1	44	869	1	0	1	5	0	2	0	5	0	0	0	0
Malacoplasma penetrans	0	9	11	6	0	0	0	0	0	0	0	1	1	0	0	0
Chloroflexus aggregans	0	66	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexus aurantiacus	0	16	11	0	0	0	6	2	0	0	0	0	0	0	0	0
Phototrophicus methaneseepsis	0	9	6	1	1	0	2	0	3	2	3	5	0	0	0	0
Meiothermus silvanus	0	15	2	16	0	0	0	0	0	0	1	0	1	0	0	0
Thermus oshimai	0	16	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus sp. AJ005	0	10	0	0	0	0	4	13	0	1	0	0	0	0	0	0
Deinococcus sp. TS-293	0	14	0	0	0	0	3	0	0	0	0	0	1	0	0	0
Deinococcus radiophilus	0	30	2	2	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus maricopensis	0	18	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Deinococcus peraridilitoris	0	7	3	8	0	0	4	2	0	0	11	0	0	0	1	0
Prevotella histicola	0	498	0	0	0	0	3	3	2	19	0	1	0	0	0	0
Prevotella intermedia	0	98	9	0	1	0	11	26	7	0	0	1	11	0	0	0
Prevotella sp. oral taxon 475	0	7	22	5	0	0	0	1	1	0	0	0	0	0	0	0
Prevotella sp. Rep29	0	3	4	0	0	0	0	3	0	1	0	0	0	0	0	0
Prevotella sp. E9-3	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Prevotella buccalis	0	16	32	0	0	0	8	1	25	0	0	0	0	0	2	0
Prevotella multiformis	0	37	0	0	0	0	3	0	9	0	0	0	0	0	0	0
Prevotella herbatica	0	5	0	0	0	0	1	4	0	0	0	0	0	0	0	0
Prevotella bryantii	0	4	0	1	0	0	0	0	9	4	0	0	0	0	0	0
Prevotella scopos	0	24	0	0	0	0	3	0	2	9	0	0	0	0	0	0
Prevotella oris	0	8	0	0	0	0	0	0	7	25	0	5	1	0	0	0
Prevotella nigrescens	0	23	2	1	0	0	11	2	1	0	0	1	0	0	0	0
Prevotella dentalis	0	5	0	1	1	0	0	0	7	3	1	2	0	2	0	0
Prevotella enoeca	0	3	3	0	0	0	4	0	1	2	0	0	2	0	0	0
Prevotella ruminicola	0	1	7	0	0	0	0	1	0	0	0	0	0	0	0	0
Phocaeicola dorei	0	5	13	1	0	0	0	1	4	0	0	0	0	0	0	0
Phocaeicola coprophilus	0	1	0	0	0	0	1	0	0	6	3	0	0	0	0	0
Bacteroides caccae	0	17	0	0	0	1	2	7	0	0	0	0	0	0	0	0
Bacteroides ovatus	0	93	0	0	0	0	0	0	0	18	7	0	0	1	0	1
Bacteroides sp. CBA7301	0	4	4	0	0	0	0	0	1	0	2	0	0	0	0	0
Bacteroides coprosuis	0	2	11	0	1	0	0	0	2	0	0	1	0	2	0	0
Bacteroides luhongzhouii	0	1	5	1	0	1	0	0	0	0	0	0	0	1	0	0
Bacteroides stercoris	0	1	29	0	0	0	0	0	0	13	0	0	0	0	0	0
Petrimonas mucosa	0	8	5	0	0	0	0	14	0	0	0	0	0	0	2	0
Porphyromonas endodontalis	0	2	2	4	0	2	2	6	2	0	0	2	0	0	0	0
Porphyromonas asaccharolytica	0	1	7	8	0	0	0	2	5	0	1	1	0	0	0	0
Alistipes megaguti	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Coprobacter secundus	0	3	52	0	0	1	0	1	2	0	0	0	2	0	0	0
Barnesiella viscericola	0	1	80	0	23	0	5	0	35	0	5	0	4	0	0	0
Butyricimonas virosa	0	2	0	1	0	0	6	0	0	0	0	0	0	0	0	0
Parabacteroides goldsteinii	0	1	29	1	0	0	0	0	0	0	0	1	0	2	0	0
Labilibaculum antarcticum	0	3	59	5	0	0	0	2	1	0	0	0	1	3	0	1
Spirosoma radiotolerans	0	17	1	0	0	0	0	1	1	3	0	0	0	0	0	0
Spirosoma sp. CJU-R4	0	1	1	1	0	0	2	4	0	0	0	0	1	0	0	0
Spirosoma rigui	0	3	5	0	0	0	20	3	0	0	0	2	2	0	0	0
Hymenobacter sp. BT18	0	4	2	0	0	2	4	0	0	0	0	1	0	0	0	0
Hymenobacter sp. NBH84	0	1	8	2	0	0	11	0	0	0	2	0	0	0	0	0
Pontibacter akesuensis	0	2	3	0	25	0	0	0	0	1	0	0	0	0	0	0
Larkinella sp. IE-0392	0	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Runella sp. SP2	0	2	0	0	0	0	0	0	14	4	2	0	0	1	0	1
Leadbetterella byssophila	0	2	128	3	0	0	0	0	0	0	0	0	0	1	0	0
Arcticibacterium luteifluviistationis	0	2	45	2	0	1	3	3	1	2	0	1	0	1	0	0
Flammeovirga kamogawensis	0	2	0	2	0	0	2	0	0	1	0	0	0	1	0	0
Candidatus Cardinium hertigii	0	1	18	0	0	0	0	1	0	0	0	0	0	1	0	0
Algoriphagus machipongonensis	0	1	77	0	1	0	3	2	7	2	0	0	1	0	0	0
Echinicola strongylocentroti	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0
Olleya sp. Bg11-27	0	191	76	7	0	0	0	9	0	4	0	0	2	3	0	0
Winogradskyella forsetii	0	129	2	1	0	0	0	8	2	17	0	1	0	0	0	0
Winogradskyella helgolandensis	0	13	5	2	0	0	0	0	0	1	1	0	0	0	0	0
Winogradskyella sp. MH6	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Flavobacterium sp. HJ-32-4	0	2	209	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavobacterium sp. F-323	0	1	98	1	0	0	0	0	0	0	0	0	2	1	0	0
Flavobacterium sp. IGB 4-14	0	1	105	1	0	0	0	0	1	0	1	0	0	0	1	0
Flavobacterium sp. WSW3-B6	0	1	63	0	0	1	0	0	0	0	0	0	1	0	0	0
Capnocytophaga sp. oral taxon 902	0	11	134	0	0	0	0	8	0	0	0	0	0	0	0	0
Capnocytophaga gingivalis	0	6	18	0	1	7	1	42	2	5	0	0	6	0	0	0
Capnocytophaga ochracea	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnocytophaga cynodegmi	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Tenacibaculum sp. AHE14PA	0	369	417	0	0	0	0	0	0	0	0	0	0	0	0	0
Tenacibaculum sp. SZ-18	0	1	0	1	0	1	0	4	1	0	0	0	0	0	0	0
Tenacibaculum dicentrarchi	0	1	9	0	0	1	0	0	1	2	0	3	1	3	0	0
Polaribacter sp. MED152	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0
Polaribacter sp. SA4-10	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Polaribacter sp. NJDZ03	0	1	3	1	0	0	0	0	0	0	0	0	0	2	0	0
Polaribacter pectinis	0	2	0	53	0	0	0	13	0	0	0	2	0	5	0	0
Polaribacter reichenbachii	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0
Polaribacter vadi	0	1	0	11	1	0	0	4	0	0	0	1	0	1	0	4
Robiginitalea biformata	0	19	15	0	0	0	0	1	0	0	0	0	0	0	0	0
Seonamhaeicola sp. ML3	0	8	89	0	0	0	0	0	0	0	0	6	0	0	0	0
Lacinutrix sp. Bg11-31	0	6	10	1	0	0	0	0	0	0	1	0	0	0	0	0
Cellulophaga sp. HaHa_2_95	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myroides phaeus	0	4	16	0	0	0	0	2	0	0	0	2	0	0	0	0
Muricauda sp. SCSIO 64092	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0
Aquimarina sp. BL5	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Wenyingzhuangia fucanilytica	0	2	0	4	0	1	0	0	2	0	1	0	0	0	0	0
Flavivirga eckloniae	0	1	0	0	0	1	0	1	1	1	0	0	1	1	0	0
Siansivirga zeaxanthinifaciens	0	1	17	0	0	0	0	0	2	0	0	0	0	0	0	0
Antarcticibacterium flavum	0	1	39	1	15	2	0	1	2	1	2	1	0	0	0	0
Urechidicola croceus	0	1	22	1	1	0	2	0	0	0	0	0	0	0	0	0
Formosa sp. L2A11	0	1	23	1	0	0	0	6	0	0	0	0	0	0	0	1
Aequorivita sp. H23M31	0	1	5	0	0	0	0	0	0	1	0	2	0	0	0	0
Chryseobacterium sp. ZHDP1	0	12	20	16	2	3	0	0	0	0	0	1	1	13	0	2
Chryseobacterium sp. 6424	0	3	19	0	0	0	9	11	2	0	0	0	0	0	0	0
Chryseobacterium capnotolerans	0	2	0	1	0	0	0	4	0	0	1	1	0	0	0	0
Chryseobacterium aureum	0	1	2	2	0	0	6	1	2	0	1	0	0	0	0	0
Chryseobacterium cucumeris	0	3	0	9	1	0	0	0	0	0	0	0	0	0	0	0
Kaistella sp. 97-N-M2	0	4	0	0	0	0	0	0	0	1	5	5	0	0	0	0
Weeksella virosa	0	2	101	1	0	0	0	1	0	0	0	0	0	0	0	0
Bergeyella cardium	0	1	0	2	0	0	0	5	0	0	0	0	0	1	0	0
Rhodothermus marinus	0	28	96	2	0	0	5	0	0	0	0	0	2	2	0	0
Salinibacter ruber	0	2	11	3	0	0	0	1	0	0	0	0	0	1	0	0
Chitinophaga pinensis	0	1	27	3	0	0	0	0	0	1	0	0	0	0	0	24
Chitinophaga oryzae	0	1	87	0	1	1	25	0	3	0	1	0	14	0	2	0
Flavisolibacter ginsenosidimutans	0	2	171	1	0	0	0	2	1	0	2	0	0	0	0	0
Pedobacter sp. PACM 27299	0	3	247	0	0	0	0	0	0	0	0	1	1	0	0	0
Pedobacter sp. Q8-18	0	1	665	0	0	0	8	0	0	0	0	0	0	0	0	0
Pedobacter suwonensis	0	2	82	0	0	0	0	0	0	0	1	0	0	0	0	0
Pedobacter roseus	0	1	850	4	0	0	0	9	0	0	0	0	0	0	0	0
Mucilaginibacter daejeonensis	0	1	93	0	0	0	0	0	3	0	0	0	0	0	1	0
Mucilaginibacter paludis	0	1	239	1	0	0	0	0	0	0	0	1	0	0	0	7
Mucilaginibacter ginsenosidivorax	0	1	262	0	0	0	0	0	3	0	0	0	0	0	0	0
Chloroherpeton thalassium	0	33	56	1	0	0	4	5	0	0	0	0	0	0	0	0
Prosthecochloris sp. CIB 2401	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melioribacter roseus	0	2	293	1	0	0	1	1	0	1	0	0	0	0	0	0
Chlamydia suis	0	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0
Chlamydia felis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia pneumoniae	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Candidatus Rhabdochlamydia porcellionis	0	12	10	1	0	0	0	4	0	0	0	0	0	0	0	0
Parachlamydia acanthamoebae	0	4	118	0	0	0	2	5	0	0	26	11	0	0	0	0
Candidatus Protochlamydia amoebophila	0	2	83	0	0	0	0	0	0	0	0	0	0	0	0	0
Fuerstiella marisgermanici	0	21	4	4	0	0	0	1	0	0	0	1	0	0	0	0
Calycomorphotria hydatis	0	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Polystyrenella longa	0	13	9	0	0	0	0	4	0	0	1	0	0	0	0	0
Symmachiella dynata	0	3	11	0	0	0	0	0	1	1	0	0	0	0	0	0
Thalassoglobus polymorphus	0	1	15	3	0	0	0	1	0	0	0	0	0	0	0	0
Isosphaera pallida	0	79	185	6	0	0	2	0	0	3	2	0	0	1	0	0
Tautonia plasticadhaerens	0	8	62	0	0	0	0	4	0	0	0	2	0	0	0	0
Pirellula staleyi	0	1	11	1	0	0	0	2	0	0	3	0	0	1	0	0
Bremerella volcania	0	5	12	0	0	0	0	2	0	3	0	0	0	0	0	0
Aureliella helgolandensis	0	2	24	0	0	0	3	2	0	0	0	0	0	0	0	0
Aeoliella mucimassa	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermogutta terrifontis	0	1	7	0	0	0	9	0	0	0	0	0	0	0	0	0
Limnoglobus roseus	0	6	446	1	12	0	0	0	3	0	6	0	0	0	7	0
Tuwongella immobilis	0	5	272	0	0	0	28	4	0	0	0	0	0	1	0	0
Telmatocola sphagniphila	0	1	138	0	0	0	3	0	0	0	0	0	0	0	0	0
Anaerohalosphaera lusitana	0	19	49	1	0	0	1	1	0	0	0	0	1	0	0	0
Poriferisphaera corsica	0	2	2	0	0	0	0	4	0	0	0	0	0	0	0	0
Candidatus Kuenenia stuttgartiensis	0	9	7	1	0	0	1	2	3	2	0	0	0	1	0	0
Opitutus sp. GAS368	0	31	4330	0	2	0	0	0	1	0	2	0	0	0	0	1
Coraliomargarita akajimensis	0	10	283	0	1	0	7	0	0	0	0	0	0	0	0	0
Ruficoccus sp. ZRK36	0	7	56	7	0	0	0	0	0	0	0	0	0	0	0	0
Kiritimatiella glycovorans	0	15	97	5	0	0	0	8	1	2	3	0	0	2	0	0
Chloracidobacterium validum	0	1	11	19	0	0	5	0	0	0	0	0	0	0	1	0
Chloracidobacterium aggregatum	0	7	0	0	0	0	11	3	0	0	0	0	0	0	0	0
Candidatus Bipolaricaulis anaerobius	0	15	49	9	0	0	2	4	1	1	1	0	0	5	0	0
Fusobacterium pseudoperiodonticum	0	6	0	0	0	4	6	75	0	2	1	0	0	0	0	2
Fusobacterium ulcerans	0	2	1	2	0	0	0	0	1	0	2	2	0	4	0	57
Fusobacterium gonidiaformans	0	1	27	585	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium canifelinum	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Ilyobacter polytropus	0	1	1	4	0	0	0	2	0	1	0	0	0	1	1	0
Cetobacterium somerae	0	1	3	2	0	0	0	0	1	0	0	1	0	2	0	0
Leptotrichia sp. oral taxon 498	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptotrichia hongkongensis	0	11	0	0	0	1	0	10	0	0	0	0	0	0	0	0
Leptotrichia buccalis	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0
Sneathia vaginalis	0	5	16	0	0	0	0	7	0	0	0	0	0	0	0	0
Sebaldella termitidis	0	2	4	1	0	0	1	0	1	1	1	2	0	1	0	0
Kosmotoga olearia	0	39	10	7	0	0	1	8	0	0	0	0	0	6	0	0
Thermotoga maritima	0	7	0	477	0	2	0	169	0	24	0	151	0	7	0	4736
Pseudothermotoga thermarum	0	4	274	0	0	0	0	0	0	0	0	0	0	0	1	0
Thermosipho africanus	0	29	7	5	0	0	0	0	0	0	0	0	0	0	0	1
Thermosipho melanesiensis	0	1	0	12	0	0	5	35	4	6	0	0	0	0	0	0
Defluviitoga tunisiensis	0	1	7	4	0	0	0	0	0	0	1	0	0	0	0	0
Desulfurobacterium thermolithotrophum	0	84	16	6	0	0	0	0	0	0	0	0	0	0	1	0
Hydrogenobaculum sp. HO	0	22	56	4	1	0	3	0	0	0	0	0	0	0	0	0
Sphaerochaeta pleomorpha	0	69	3	575	0	9	4	1001	0	122	1	33	0	74	0	15
Borrelia crocidurae	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia anserina	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Borrelia sp. HM	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella afzelii	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella valaisiana	0	2	0	88	0	0	0	0	0	0	0	0	0	0	0	0
Treponema peruense	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema brennaborense	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0
Treponema parvum	0	1	16	0	0	1	0	0	0	1	0	0	0	0	0	0
Spirochaeta thermophila	0	1	47	3	0	0	0	0	0	0	0	0	0	0	5	0
Thiospirochaeta perfilievii	0	2	6	3	1	1	0	2	0	0	0	0	1	2	0	0
Sediminispirochaeta smaragdinae	0	1	12	0	0	0	0	3	0	0	0	0	0	0	0	0
Gracilinema caldarium	0	2	4	0	0	0	0	0	6	9	0	5	0	0	0	0
Brachyspira pilosicoli	0	4	2	0	0	2	0	0	0	0	3	2	0	0	0	0
Brachyspira intermedia	0	15	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Leptospira biflexa	0	3	5	2	0	0	0	1	0	0	0	0	1	0	0	0
Leptospira tipperaryensis	0	3	0	0	0	0	0	0	4	6	0	0	0	0	0	0
Cloacibacillus porcorum	0	39	5	1	0	0	2	5	0	0	0	0	0	0	0	0
Thermanaerovibrio acidaminovorans	0	24	4	0	0	0	0	0	0	0	0	0	0	0	1	0
Deferribacter desulfuricans	0	10	52	0	1	1	2	0	1	1	0	1	0	0	0	0
Geovibrio thiophilus	0	1	40	2	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospira japonica	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Dissulfurispira thermophila	0	2	0	2	0	0	0	0	1	0	0	1	0	0	0	0
Coprothermobacter proteolyticus	0	41	103	0	0	0	3	6	0	0	0	0	1	0	0	0
Thermosulfurimonas marina	0	15	3	0	1	0	0	0	0	0	0	0	0	0	0	0
Thermosulfuriphilus ammonigenes	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Candidatus Endomicrobium trichonymphae	0	10	4	1	0	0	0	0	0	0	0	0	0	1	1	0
Elusimicrobium minutum	0	3	9	3	0	0	0	0	0	0	0	0	0	0	0	0
Dictyoglomus thermophilum	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dictyoglomus turgidum	0	3	24	2	0	0	0	0	0	0	0	0	0	0	0	0
Desulfurispirillum indicum	0	9	14	11	0	0	8	2	6	5	1	0	0	1	0	0
Atribacter laminatus	0	4	51	5	0	0	0	5	0	1	0	0	0	0	0	1
Caldisericum exile	0	1	3	5	0	0	3	0	0	0	0	0	0	1	0	0
Fusarium graminearum	0	3	1	0	0	0	0	2	132	88	0	8	0	1	0	0
Fusarium verticillioides	0	2	0	4	0	0	1	2	30	19	0	6	0	1	0	0
Trichoderma reesei	0	1	0	2	0	0	0	1	61	38	1	1	3	2	0	0
Neurospora crassa	0	19	9	8	2	2	15	12	53	783	3	87	2	12	1	0
Botrytis cinerea	0	27	0	5	1	1	0	3	493	797	4	89	1	4	0	0
Coccidioides posadasii	0	37	8	11	3	1	11	7	385	2047	2	147	2	8	1	0
Histoplasma capsulatum	0	4	0	6	0	3	0	0	54	124	1	4	1	0	0	0
Aspergillus clavatus	0	3	0	8	1	2	5	5	34	14	0	0	3	0	0	0
Aspergillus fischeri	0	1	0	0	0	0	0	0	37	61	0	1	0	0	0	0
Aspergillus aculeatus	0	1	5	1	0	0	0	2	169	132	0	0	2	1	0	0
Aspergillus niger	0	1	2	1	0	0	2	1	41	45	2	4	1	0	0	0
Schizosaccharomyces japonicus	0	1	0	3	0	0	1	0	681	778	2	10	1	0	0	0
Sporisorium reilianum	0	1	11	8	7	6	0	3	21	9	3	2	14	1	2	0
Melampsora larici-populina	0	19	0	1	1	1	0	1	321	729	21	295	2	8	0	0
Tremella mesenterica	0	5	5	0	0	1	0	0	99	177	0	2	0	0	0	0
Phycomyces blakesleeanus	0	2	2	5	0	1	1	5	264	553	0	1	0	1	0	0
Nosema bombycis	0	2	5	5	2	1	6	0	11	22	1	11	0	0	0	0
Vittaforma corneae	0	2	0	2	0	0	0	2	0	1	0	0	0	0	0	0
Nematocida parisii	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edhazardia aedis	0	1	0	5	0	0	0	0	0	1	1	0	0	0	2	1
Mitosporidium daphniae	0	1	0	0	0	0	2	0	15	19	0	8	0	0	0	0
Eimeria necatrix	0	13	0	253	0	2	3	408	1	429	0	9	1	21	0	0
Eimeria maxima	0	9	3	7	0	0	6	0	10	58	0	9	5	0	0	1
Eimeria tenella	0	7	0	296	0	2	2	591	2	410	0	7	1	0	0	1
Eimeria acervulina	0	1	6	10	0	1	17	9	13	116	4	10	10	3	2	0
Cyclospora cayetanensis	0	1	1	2	0	1	0	0	20	80	0	3	1	0	0	1
Cryptosporidium muris	0	5	0	0	0	0	0	0	6	19	2	8	2	0	0	0
Plasmodium coatneyi	0	62	0	1	1	5	0	0	16	186	32	538	0	0	0	1
Plasmodium yoelii	0	8	1	2	0	3	0	1	1	49	32	209	0	1	0	0
Theileria equi	0	5	0	0	1	0	0	0	1	3	0	25	16	1	0	0
Cytauxzoon felis	0	1	0	2	0	0	0	0	59	52	0	1	0	0	0	0
Vitrella brassicaformis	0	1	1	10	0	0	3	3	0	10	5	8	3	2	4	2
Phytophthora capsici	0	25	0	7	1	1	2	6	9	275	5	70	4	4	0	0
Phytophthora parasitica	0	14	3	4	0	4	0	1	20	78	1	92	1	8	1	0
Phytophthora infestans	0	14	4	153	0	1	18	498	92	174	4	81	1	0	2	7
Globisporangium iwayamae	0	3	0	13	0	0	1	90	106	661	0	4	1	3	0	0
Globisporangium irregulare	0	1	0	0	1	0	3	1	5	35	0	0	0	2	0	1
Phytopythium vexans	0	1	0	1	0	1	0	2	6	0	0	2	0	0	0	0
Albugo laibachii	0	6	2	6	1	3	4	30	10	7	3	6	7	15	1	2
Aphanomyces astaci	0	2	6	2	1	1	0	10	120	22	5	2	2	0	0	1
Aphanomyces invadans	0	1	2	0	0	1	10	9	5	12	1	2	6	1	1	0
Acanthamoeba astronyxis	0	18	3	32	0	1	7	13	26	157	0	105	3	4	1	9
Acanthamoeba castellanii	0	1	0	0	0	1	5	5	17	8	0	5	0	0	0	0
Acanthamoeba lenticulata	0	1	0	2	2	0	1	1	17	7	1	1	1	1	0	0
Acanthamoeba triangularis	0	2	2	26	0	1	6	42	55	187	3	27	7	6	1	0
Entamoeba invadens	0	2	3	9	3	1	14	0	46	112	0	3	7	2	1	4
Entamoeba dispar	0	2	0	6	0	0	0	2	48	64	0	5	0	1	0	0
Entamoeba nuttalli	0	1	0	0	0	0	0	5	5	0	1	2	0	1	1	0
Trypanosoma brucei	0	5	0	2	0	0	8	0	0	19	3	0	0	2	0	0
Trypanosoma congolense	0	1	0	59	0	0	0	152	30	19	1	3	0	1	0	0
Leishmania aethiopica	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Spironucleus salmonicida	0	4	1	23	0	1	0	53	17	47	0	4	0	1	0	0
Nitrosopumilus piranensis	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Nitrosopumilus sp. K4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sulfurisphaera ohwakuensis	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Pyrolobus fumarii	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter millerae	0	1	0	0	0	0	2	0	2	0	0	1	0	1	0	0
Methanobrevibacter sp. TLL-48-HuF1	0	1	15	0	16	0	141	0	50	0	28	0	24	0	82	0
Halobacterium hubeiense	0	1	0	1	0	0	0	5	0	0	0	0	0	0	0	0
Haloquadratum walsbyi	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Natrinema pellirubrum	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanosarcina horonobensis	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Thermococcus litoralis	0	1	0	3	0	0	0	0	7	2	0	0	10	3	0	0
Thermococcus paralvinellae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aciduliprofundum boonei	0	3	0	0	0	0	2	0	2	1	0	11	0	0	0	0
Candidatus Nanohalobium constans	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0
Candidatus Prometheoarchaeum syntrophicum	0	1	4	1	1	0	12	4	1	18	3	1	5	1	1	0
Bat coronavirus BM48-31/BGR/2008	0	49	0	0	1789	3465	0	0	0	0	0	0	0	0	0	0
Myotis ricketti alphacoronavirus Sax-2011	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Canada goose coronavirus	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Shrew coronavirus	0	1	0	0	1	8	0	0	0	0	0	0	0	0	0	0
Pigeon picornavirus B	0	1	0	0	0	28	0	0	0	0	0	0	0	0	0	0
Equine infectious anemia virus	0	4	0	104	0	10	0	34	0	4	0	48	0	6	0	1
Biseptimavirus bv23MRA	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Triavirus tv2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio phage ValB1MD-2	0	8	0	8	0	0	0	42	0	4	0	13	0	3	0	195
Bacillus phage 0305phi8-36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Andhravirus andhra	0	1	0	13	0	1	0	5	0	2	0	6	0	2	0	342
Megavirus chiliensis	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Paramecium bursaria Chlorella virus A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Noumeavirus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drosophila melanogaster nudivirus A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyothetapapillomavirus 1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacter henricii	0	0	11143	8	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacter sp. FWC26	0	0	14963	0	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacter flavus	0	0	10242	0	0	0	2	0	0	0	0	0	0	0	22	0
Caulobacter soli	0	0	723	0	0	0	3	0	1	4	0	0	0	0	0	0
Caulobacter rhizosphaerae	0	0	55	2	0	0	0	0	0	0	1	0	1	0	0	0
Brevundimonas sp. AJA228-03	0	0	628	0	1	0	0	0	0	1	0	0	0	0	0	0
Brevundimonas sp. PAMC22021	0	0	1375	0	1	0	0	0	0	0	0	0	0	0	10	0
Brevundimonas sp. MF30-B	0	0	772	0	0	0	2	0	0	0	0	0	0	0	0	0
Brevundimonas sp. GW460-12-10-14-LB2	0	0	8953	0	0	0	0	0	0	0	0	0	0	0	8	0
Brevundimonas sp. LM2	0	0	423	0	0	0	7	2	0	0	0	0	0	0	0	0
Brevundimonas sp. SGAir0440	0	0	86	0	0	0	6	0	3	0	0	0	0	0	5	0
Brevundimonas subvibrioides	0	0	19	0	0	0	0	2	0	0	0	0	1	0	0	0
Brevundimonas vesicularis	0	0	155	0	5	0	0	0	15	0	0	0	13	0	34	0
Phenylobacterium parvum	0	0	4524	0	0	0	0	2	0	0	0	0	0	0	0	0
Asticcacaulis sp. AND118	0	0	849	6	2	0	0	1	0	0	0	0	0	0	0	0
Devosia salina	0	0	1382	0	1	0	0	5	0	0	0	0	0	0	1	0
Pelagibacterium halotolerans	0	0	543	0	0	0	0	0	0	0	0	0	1	0	0	0
Youhaiella tibetensis	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium durans	0	0	638	0	0	0	1	0	0	0	0	0	2	0	0	0
Methylobacterium terrae	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium nodulans	0	0	148	20	0	0	0	22	1	0	9	8	0	0	2	0
